record number,datetime,season,holiday,weather,temp,humidity,windspeed,casual,registered,all_users
4668,6/11/11 16:00,2,0,2,31,46,13.00,169,225,394
4669,9/25/11 12:00,4,0,2,24,78,0.00,143,270,413
4670,9/9/12 5:00,3,0,1,17,77,13.00,16,39,55
4671,9/4/11 0:00,3,0,1,24,89,13.00,33,76,109
4672,11/12/12 5:00,4,1,1,10,87,0.00,1,23,24
4673,5/28/11 0:00,2,0,1,20,88,9.00,15,79,94
4674,12/9/11 18:00,4,0,1,8,61,0.00,10,308,318
4675,4/14/12 9:00,2,0,1,12,54,9.00,59,206,265
4676,9/10/12 19:00,3,0,1,22,38,20.00,71,562,633
4677,8/17/11 0:00,3,0,1,24,69,6.00,8,16,24
4678,7/25/11 15:00,3,0,1,26,84,26.00,16,96,112
4679,12/1/11 5:00,4,0,1,4,56,17.00,1,21,22
4680,4/18/12 13:00,2,0,3,14,59,0.00,13,51,64
4681,9/3/11 6:00,3,0,1,22,73,11.00,4,19,23
4682,7/6/12 21:00,3,0,1,32,52,9.00,77,223,300
4683,4/10/11 8:00,2,0,2,10,94,6.00,17,38,55
4684,8/7/11 23:00,3,0,1,26,79,7.00,12,43,55
4685,9/29/11 15:00,4,0,1,25,45,26.00,42,185,227
4686,6/24/11 22:00,3,0,1,26,48,0.00,41,126,167
4687,8/6/11 14:00,3,0,1,32,52,17.00,176,204,380
4688,7/21/12 22:00,3,0,2,21,88,7.00,40,140,180
4689,8/13/12 0:00,3,0,1,24,65,7.00,14,33,47
4690,7/11/11 20:00,3,0,1,27,74,28.00,42,194,236
4691,1/11/12 9:00,1,0,2,1,86,9.00,7,218,225
4692,10/3/12 18:00,4,0,1,26,65,0.00,54,756,810
4693,5/4/12 18:00,2,0,1,26,54,31.00,77,564,641
4694,7/7/11 1:00,3,0,1,24,89,13.00,2,14,16
4695,12/29/11 20:00,1,0,1,5,65,7.00,8,88,96
4696,11/30/12 9:00,4,0,1,3,75,6.00,17,313,330
4697,7/10/12 6:00,3,0,2,25,79,7.00,4,183,187
4698,6/27/12 16:00,3,0,1,32,24,30.00,55,336,391
4699,5/19/12 23:00,2,0,1,21,56,11.00,71,168,239
4700,3/1/11 13:00,1,0,1,7,39,0.00,13,65,78
4701,11/25/11 12:00,4,0,1,14,51,7.00,126,146,272
4702,1/8/12 9:00,1,0,1,7,53,9.00,23,102,125
4703,2/3/11 20:00,1,0,1,1,47,6.00,1,108,109
4704,8/23/12 2:00,3,0,1,22,83,0.00,9,11,20
4705,4/28/11 14:00,2,0,1,22,83,20.00,21,121,142
4706,1/23/12 9:00,1,0,2,1,86,6.00,13,198,211
4707,7/11/11 16:00,3,0,1,34,56,26.00,57,181,238
4708,11/28/12 16:00,4,0,1,9,29,17.00,9,316,325
4709,9/4/11 3:00,3,0,1,23,89,13.00,20,23,43
4710,8/27/12 15:00,3,0,1,31,55,20.00,77,205,282
4711,9/2/12 12:00,3,0,3,28,70,0.00,248,297,545
4712,12/10/11 3:00,4,0,2,5,61,6.00,5,20,25
4713,8/9/11 11:00,3,0,1,31,59,15.00,60,88,148
4714,1/3/11 9:00,1,0,1,-1,43,26.00,7,81,88
4715,7/2/12 8:00,3,0,1,29,52,13.00,20,548,568
4716,9/29/11 16:00,4,0,1,25,41,24.00,64,227,291
4717,3/24/12 15:00,2,0,3,16,94,28.00,118,172,290
4718,8/18/11 0:00,3,0,1,25,65,9.00,18,38,56
4719,4/9/11 0:00,2,0,2,6,87,15.00,5,26,31
4720,6/8/12 10:00,2,0,1,24,47,17.00,62,187,249
4721,7/7/12 23:00,3,0,1,33,56,11.00,34,114,148
4722,3/1/11 4:00,1,0,1,2,69,17.00,0,1,1
4723,3/25/12 22:00,2,0,1,14,82,9.00,19,92,111
4724,8/27/12 3:00,3,0,1,22,88,6.00,1,3,4
4725,9/26/11 7:00,4,0,2,22,94,0.00,17,314,331
4726,4/11/11 1:00,2,0,1,14,94,19.00,1,3,4
4727,12/5/12 17:00,4,0,1,13,35,19.00,29,576,605
4728,11/13/11 11:00,4,0,1,14,40,28.00,108,187,295
4729,1/7/12 5:00,1,0,1,4,75,7.00,2,7,9
4730,2/18/12 17:00,1,0,1,15,36,19.00,142,222,364
4731,10/2/12 20:00,4,0,3,22,94,9.00,20,286,306
4732,8/25/12 4:00,3,0,2,24,69,7.00,3,9,12
4733,9/17/11 20:00,3,0,1,17,68,9.00,43,133,176
4734,5/10/11 23:00,2,0,2,17,59,9.00,9,72,81
4735,6/22/12 23:00,3,0,2,24,74,0.00,29,145,174
4736,1/23/11 13:00,1,0,1,-2,33,26.00,12,75,87
4737,11/30/11 22:00,4,0,1,6,56,20.00,5,82,87
4738,1/18/12 8:00,1,0,1,6,52,28.00,15,473,488
4739,3/31/11 8:00,2,0,2,3,100,17.00,7,179,186
4740,4/1/12 14:00,2,0,2,15,55,15.00,283,278,561
4741,12/21/12 14:00,1,0,2,7,39,30.00,20,199,219
4742,5/30/12 14:00,2,0,1,27,42,9.00,44,208,252
4743,11/5/11 0:00,4,0,1,7,45,24.00,4,48,52
4744,9/24/11 12:00,4,0,2,22,83,6.00,141,266,407
4745,4/15/11 19:00,2,1,1,12,77,26.00,41,166,207
4746,3/3/12 5:00,1,0,2,9,93,6.00,1,0,1
4747,1/8/11 4:00,1,0,3,0,55,11.00,0,1,1
4748,6/18/11 5:00,2,0,1,22,83,0.00,1,6,7
4749,3/30/11 16:00,2,0,3,5,87,17.00,0,36,36
4750,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
4751,10/5/12 13:00,4,0,1,26,48,0.00,117,307,424
4752,6/6/12 18:00,2,0,3,21,53,13.00,94,688,782
4753,9/11/11 9:00,3,0,1,24,74,0.00,59,168,227
4754,12/3/12 15:00,4,0,1,21,56,0.00,58,210,268
4755,8/28/12 7:00,3,0,2,24,83,7.00,14,255,269
4756,3/25/11 12:00,2,0,1,7,42,17.00,37,108,145
4757,1/15/11 17:00,1,0,2,7,36,19.00,29,54,83
4758,5/6/12 23:00,2,0,1,17,77,13.00,22,80,102
4759,2/15/12 16:00,1,0,1,12,38,13.00,9,222,231
4760,10/11/12 2:00,4,0,1,12,50,9.00,4,7,11
4761,12/7/11 16:00,4,0,3,12,94,13.00,3,28,31
4762,11/19/12 8:00,4,0,2,9,66,20.00,13,650,663
4763,6/27/12 10:00,3,0,1,26,37,17.00,34,138,172
4764,11/2/11 20:00,4,0,1,11,66,9.00,5,177,182
4765,3/10/11 0:00,1,0,3,8,0,17.00,3,0,3
4766,3/28/12 6:00,2,0,1,9,46,24.00,4,111,115
4767,12/3/11 22:00,4,0,2,7,61,6.00,17,97,114
4768,7/7/11 6:00,3,0,2,23,89,9.00,11,107,118
4769,9/6/12 14:00,3,0,1,28,74,6.00,38,178,216
4770,2/22/12 1:00,1,0,1,7,70,9.00,3,4,7
4771,10/16/11 20:00,4,0,1,18,52,31.00,49,129,178
4772,2/1/11 15:00,1,0,2,3,75,0.00,7,45,52
4773,3/16/12 6:00,1,0,2,11,87,11.00,3,96,99
4774,12/19/12 23:00,4,0,1,7,66,9.00,4,84,88
4775,4/29/12 6:00,2,0,1,8,87,9.00,1,6,7
4776,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
4777,9/23/11 17:00,4,0,2,21,100,0.00,13,86,99
4778,12/11/12 18:00,4,0,1,7,53,15.00,23,523,546
4779,2/3/11 9:00,1,0,1,-1,47,20.00,6,127,133
4780,5/31/11 20:00,2,0,1,30,62,7.00,38,213,251
4781,11/13/11 18:00,4,0,1,17,27,22.00,35,155,190
4782,11/3/12 13:00,4,0,2,9,46,24.00,110,339,449
4783,5/1/11 3:00,2,0,1,11,82,7.00,8,15,23
4784,5/22/12 6:00,2,0,3,19,88,7.00,8,129,137
4785,3/9/11 11:00,1,0,2,7,76,26.00,15,44,59
4786,7/30/11 12:00,3,0,1,33,32,11.00,111,230,341
4787,8/12/12 8:00,3,0,1,24,54,15.00,35,84,119
4788,11/17/11 5:00,4,0,3,8,71,22.00,1,21,22
4789,7/16/12 23:00,3,0,1,28,74,6.00,27,139,166
4790,6/24/11 20:00,3,0,1,27,45,11.00,66,222,288
4791,1/15/11 12:00,1,0,1,3,48,15.00,15,74,89
4792,5/30/12 8:00,2,0,2,21,73,11.00,29,641,670
4793,7/6/12 9:00,3,0,1,32,36,9.00,55,249,304
4794,7/1/11 8:00,3,0,1,26,42,11.00,39,452,491
4795,2/8/12 14:00,1,0,2,6,56,11.00,8,100,108
4796,10/5/11 12:00,4,0,1,22,43,22.00,34,180,214
4797,11/2/11 5:00,4,0,1,6,81,0.00,0,27,27
4798,12/21/12 11:00,1,0,2,7,42,28.00,12,150,162
4799,8/6/12 6:00,3,0,2,26,79,15.00,4,137,141
4800,1/3/12 10:00,1,0,1,-1,47,31.00,5,55,60
4801,10/6/11 22:00,4,0,1,14,82,0.00,24,124,148
4802,1/13/11 4:00,1,0,1,-2,50,17.00,0,4,4
4803,1/8/11 7:00,1,0,2,-1,74,7.00,1,8,9
4804,2/23/12 20:00,1,0,1,14,44,9.00,22,244,266
4805,11/4/12 6:00,4,0,1,5,61,9.00,2,14,16
4806,4/20/11 3:00,2,0,1,12,94,0.00,0,2,2
4807,10/11/12 16:00,4,0,1,16,36,9.00,68,413,481
4808,5/16/12 22:00,2,0,1,23,73,11.00,33,253,286
4809,11/10/11 10:00,4,0,2,13,88,15.00,17,100,117
4810,11/5/12 1:00,4,0,2,6,56,11.00,0,8,8
4811,7/13/12 3:00,3,0,2,25,61,0.00,2,7,9
4812,11/27/12 12:00,4,0,3,5,87,26.00,6,70,76
4813,11/7/12 22:00,4,0,3,6,56,17.00,4,56,60
4814,10/22/12 16:00,4,0,1,22,33,11.00,80,444,524
4815,2/15/11 7:00,1,0,1,1,32,24.00,2,102,104
4816,8/27/12 7:00,3,0,1,24,83,0.00,15,418,433
4817,1/27/12 21:00,1,0,1,8,53,35.00,8,127,135
4818,4/3/11 14:00,2,0,1,14,31,9.00,240,109,349
4819,12/13/11 19:00,4,0,1,7,49,11.00,5,262,267
4820,11/25/12 20:00,4,0,1,3,60,0.00,9,110,119
4821,6/30/12 13:00,3,0,1,35,30,17.00,105,323,428
4822,2/7/12 4:00,1,0,2,6,70,0.00,0,2,2
4823,7/19/12 5:00,3,0,2,27,70,7.00,5,35,40
4824,6/26/11 4:00,3,0,1,21,64,6.00,3,8,11
4825,10/18/12 5:00,4,0,1,13,82,15.00,1,41,42
4826,1/22/12 17:00,1,0,2,-1,80,7.00,8,100,108
4827,12/15/11 7:00,4,0,1,7,70,13.00,6,251,257
4828,6/5/12 1:00,2,0,2,17,77,22.00,2,18,20
4829,9/9/11 20:00,3,0,1,23,94,6.00,30,179,209
4830,4/29/11 14:00,2,0,1,21,35,22.00,58,190,248
4831,7/13/12 1:00,3,0,2,25,54,7.00,17,42,59
4832,11/9/12 4:00,4,0,1,7,53,24.00,0,14,14
4833,11/13/11 15:00,4,0,2,16,42,22.00,89,220,309
4834,11/12/12 13:00,4,1,1,21,60,15.00,108,312,420
4835,4/28/11 7:00,2,0,2,23,78,30.00,14,199,213
4836,12/15/11 17:00,4,0,2,17,59,19.00,14,309,323
4837,2/9/11 6:00,1,0,1,-6,45,0.00,0,43,43
4838,9/27/11 18:00,4,0,2,23,89,15.00,31,324,355
4839,7/13/12 12:00,3,0,2,29,40,7.00,125,254,379
4840,12/31/12 21:00,1,0,1,4,60,11.00,7,83,90
4841,4/15/12 2:00,2,0,2,18,56,7.00,20,54,74
4842,9/19/11 18:00,3,0,2,19,68,9.00,56,483,539
4843,8/10/11 5:00,3,0,1,25,61,6.00,2,30,32
4844,2/20/11 18:00,1,0,2,8,36,9.00,30,71,101
4845,10/13/11 20:00,4,0,1,22,83,19.00,15,166,181
4846,11/30/11 10:00,4,0,1,8,66,15.00,15,95,110
4847,11/13/11 16:00,4,0,2,18,28,26.00,93,226,319
4848,11/2/12 8:00,4,0,1,7,57,7.00,31,656,687
4849,7/9/12 5:00,3,0,2,24,83,15.00,1,27,28
4850,9/9/11 12:00,3,0,1,23,94,0.00,4,71,75
4851,12/21/12 1:00,1,0,3,13,88,26.00,2,7,9
4852,6/6/11 21:00,2,0,1,24,57,6.00,29,160,189
4853,4/9/11 12:00,2,0,2,9,81,9.00,79,123,202
4854,11/15/11 4:00,4,0,1,19,64,20.00,1,6,7
4855,7/20/12 5:00,3,0,2,24,89,9.00,2,40,42
4856,4/16/11 5:00,2,0,2,10,87,19.00,1,3,4
4857,3/13/12 22:00,1,0,1,19,60,6.00,24,145,169
4858,3/20/12 2:00,1,0,1,18,88,6.00,2,8,10
4859,8/12/11 12:00,3,0,1,31,27,0.00,55,167,222
4860,11/12/12 10:00,4,1,1,15,77,11.00,82,184,266
4861,10/21/12 4:00,4,0,1,9,71,11.00,8,13,21
4862,4/8/11 11:00,2,0,2,11,62,26.00,19,79,98
4863,1/8/12 18:00,1,0,1,8,46,15.00,19,162,181
4864,5/7/12 11:00,2,0,2,18,73,13.00,64,149,213
4865,1/25/12 8:00,1,0,1,3,70,17.00,18,495,513
4866,2/27/11 11:00,1,0,1,9,62,9.00,33,92,125
4867,10/25/11 7:00,4,0,1,11,76,13.00,15,299,314
4868,1/6/12 9:00,1,0,1,3,70,11.00,4,237,241
4869,3/12/11 6:00,1,0,1,2,75,17.00,2,2,4
4870,12/14/11 19:00,4,0,2,9,62,7.00,9,258,267
4871,9/8/12 22:00,3,0,2,20,78,20.00,18,176,194
4872,6/30/12 0:00,3,0,3,23,89,11.00,4,65,69
4873,2/20/11 1:00,1,0,1,3,41,31.00,5,11,16
4874,11/7/11 17:00,4,0,1,16,45,11.00,39,488,527
4875,9/14/12 21:00,3,0,1,23,73,15.00,42,270,312
4876,12/6/12 8:00,4,0,1,2,51,20.00,13,646,659
4877,11/21/12 13:00,4,0,1,13,35,15.00,70,295,365
4878,11/24/12 0:00,4,0,1,11,37,28.00,9,33,42
4879,2/22/12 17:00,1,0,1,17,32,26.00,43,486,529
4880,3/4/11 1:00,1,0,2,0,64,13.00,0,4,4
4881,3/10/12 12:00,1,0,1,6,33,22.00,88,241,329
4882,2/19/11 3:00,1,0,1,12,14,20.00,0,7,7
4883,11/21/12 6:00,4,0,1,5,87,6.00,2,99,101
4884,11/8/11 1:00,4,0,1,7,93,7.00,3,8,11
4885,3/25/12 21:00,2,0,1,15,77,11.00,25,124,149
4886,7/23/11 15:00,3,0,1,38,38,0.00,78,137,215
4887,1/1/12 10:00,1,0,1,6,81,7.00,18,52,70
4888,9/27/11 13:00,4,0,2,26,74,15.00,29,121,150
4889,8/28/12 4:00,3,0,1,24,83,9.00,2,6,8
4890,12/26/11 22:00,1,1,1,4,70,0.00,5,22,27
4891,8/8/11 4:00,3,0,1,24,89,7.00,2,8,10
4892,11/23/12 20:00,4,0,1,14,41,6.00,42,100,142
4893,5/8/12 23:00,2,0,3,21,78,22.00,10,53,63
4894,12/11/12 4:00,4,0,2,8,76,19.00,0,8,8
4895,9/10/11 18:00,3,0,1,27,58,13.00,118,241,359
4896,7/24/12 5:00,3,0,1,24,83,7.00,5,45,50
4897,7/4/11 3:00,3,1,1,23,78,0.00,13,13,26
4898,11/2/11 10:00,4,0,1,11,71,6.00,25,108,133
4899,5/10/11 16:00,2,0,1,24,31,7.00,56,271,327
4900,6/5/11 16:00,2,0,1,27,51,6.00,138,260,398
4901,1/19/12 12:00,1,0,1,1,51,13.00,5,106,111
4902,10/14/11 9:00,4,0,2,19,94,15.00,16,162,178
4903,11/26/12 14:00,4,0,1,12,35,0.00,51,177,228
4904,10/4/12 9:00,4,0,2,23,89,13.00,40,319,359
4905,6/6/11 19:00,2,0,1,27,54,13.00,64,339,403
4906,12/4/11 6:00,4,0,1,3,93,0.00,1,3,4
4907,4/8/11 10:00,2,0,2,9,71,19.00,10,63,73
4908,8/6/11 7:00,3,0,1,25,83,11.00,14,49,63
4909,2/22/11 8:00,1,0,2,-3,80,17.00,7,104,111
4910,12/9/11 7:00,4,0,1,2,75,6.00,4,195,199
4911,1/30/12 18:00,1,0,1,8,23,11.00,11,399,410
4912,7/8/11 23:00,3,0,2,24,78,6.00,40,111,151
4913,9/30/11 12:00,4,0,2,23,57,13.00,59,194,253
4914,6/11/12 14:00,2,0,2,32,34,19.00,66,193,259
4915,7/20/12 13:00,3,0,3,25,83,7.00,20,136,156
4916,8/16/11 22:00,3,0,1,26,61,0.00,31,121,152
4917,1/14/11 9:00,1,0,1,-2,69,9.00,0,117,117
4918,5/29/11 3:00,2,0,1,22,88,7.00,2,24,26
4919,11/30/11 11:00,4,0,1,10,54,20.00,10,111,121
4920,4/10/12 4:00,2,0,1,8,71,9.00,0,2,2
4921,6/10/12 19:00,2,0,1,32,28,19.00,115,259,374
4922,5/8/12 9:00,2,0,2,19,68,24.00,36,258,294
4923,10/6/12 9:00,4,0,1,21,73,13.00,130,265,395
4924,4/16/12 6:00,2,1,1,17,83,11.00,9,123,132
4925,1/26/12 21:00,1,0,2,11,76,7.00,8,184,192
4926,8/9/12 12:00,3,0,1,33,44,7.00,85,192,277
4927,1/15/12 8:00,1,0,1,-3,54,15.00,2,34,36
4928,6/13/11 11:00,2,0,1,24,41,20.00,53,106,159
4929,11/4/12 10:00,4,0,1,8,49,13.00,73,287,360
4930,8/15/11 14:00,3,0,1,28,55,6.00,56,95,151
4931,12/30/12 11:00,1,0,1,4,41,28.00,33,103,136
4932,4/2/11 6:00,2,0,1,4,70,7.00,5,7,12
4933,5/10/12 7:00,2,0,1,13,72,20.00,8,390,398
4934,2/11/12 23:00,1,0,3,-3,50,33.00,0,20,20
4935,4/22/12 23:00,2,0,3,9,81,31.00,0,17,17
4936,5/1/11 2:00,2,0,1,12,77,7.00,7,43,50
4937,11/9/11 1:00,4,0,1,8,87,0.00,0,10,10
4938,8/5/12 11:00,3,0,1,32,56,28.00,155,282,437
4939,12/4/11 2:00,4,0,1,4,81,0.00,11,51,62
4940,12/22/12 6:00,1,0,1,4,44,28.00,0,13,13
4941,9/25/11 18:00,4,0,1,25,74,0.00,125,278,403
4942,9/2/12 6:00,3,0,2,24,89,0.00,2,13,15
4943,9/13/12 22:00,3,0,1,21,69,9.00,28,223,251
4944,3/7/11 16:00,1,0,1,8,31,24.00,26,96,122
4945,7/28/12 23:00,3,0,1,24,83,6.00,52,156,208
4946,8/18/11 12:00,3,0,1,31,52,19.00,34,139,173
4947,5/21/12 17:00,2,0,2,24,69,17.00,40,467,507
4948,8/31/12 2:00,3,0,1,24,89,9.00,9,11,20
4949,4/23/12 12:00,2,0,3,8,71,24.00,12,116,128
4950,2/25/12 6:00,1,0,2,6,42,20.00,1,12,13
4951,1/18/12 4:00,1,0,1,8,46,35.00,0,1,1
4952,5/19/11 14:00,2,0,3,18,73,13.00,43,136,179
4953,10/9/11 13:00,4,0,1,24,44,6.00,225,193,418
4954,8/11/12 7:00,3,0,1,23,83,6.00,8,54,62
4955,4/29/11 2:00,2,0,1,14,63,7.00,2,8,10
4956,9/21/11 19:00,3,0,3,22,94,0.00,30,252,282
4957,10/16/12 17:00,4,0,1,17,39,13.00,104,839,943
4958,1/17/11 20:00,1,1,3,-1,80,13.00,4,29,33
4959,10/4/11 1:00,4,0,2,11,87,7.00,1,7,8
4960,8/28/12 13:00,3,0,1,32,43,20.00,56,232,288
4961,4/16/11 19:00,2,0,2,17,94,28.00,9,62,71
4962,9/5/11 6:00,3,1,2,24,74,9.00,6,5,11
4963,3/10/12 5:00,1,0,1,2,42,19.00,3,7,10
4964,5/25/11 19:00,2,0,1,26,61,9.00,72,331,403
4965,5/9/12 1:00,2,0,2,21,78,17.00,3,11,14
4966,4/24/11 20:00,2,0,3,21,83,19.00,34,71,105
4967,5/11/12 18:00,2,0,1,23,23,19.00,78,517,595
4968,1/12/11 16:00,1,0,1,2,44,22.00,5,63,68
4969,6/19/12 21:00,2,0,1,29,62,11.00,37,239,276
4970,2/19/12 0:00,1,0,2,8,39,24.00,9,65,74
4971,6/26/11 9:00,3,0,1,24,54,6.00,75,131,206
4972,2/14/11 17:00,1,0,1,14,33,41.00,25,218,243
4973,1/7/11 8:00,1,0,1,1,51,17.00,20,189,209
4974,2/23/12 9:00,1,0,1,9,81,17.00,14,226,240
4975,11/19/11 13:00,4,0,1,12,30,19.00,118,245,363
4976,5/13/12 8:00,2,0,1,19,64,11.00,32,124,156
4977,4/14/12 10:00,2,0,1,14,51,11.00,139,267,406
4978,8/12/12 12:00,3,0,1,28,42,13.00,163,342,505
4979,8/20/11 21:00,3,0,1,27,70,15.00,81,144,225
4980,7/22/12 2:00,3,0,2,21,88,7.00,32,90,122
4981,4/7/11 16:00,2,0,1,21,35,0.00,52,161,213
4982,3/12/11 21:00,1,0,1,10,62,0.00,36,46,82
4983,12/11/11 11:00,4,0,1,4,35,0.00,31,165,196
4984,2/15/12 22:00,1,0,1,8,49,7.00,3,104,107
4985,6/16/12 16:00,2,0,2,27,37,7.00,238,304,542
4986,4/6/11 16:00,2,0,1,18,28,28.00,27,142,169
4987,7/1/12 19:00,3,0,1,33,39,9.00,103,279,382
4988,10/25/11 15:00,4,0,1,19,37,7.00,62,171,233
4989,9/17/12 22:00,3,0,3,22,83,17.00,20,109,129
4990,6/9/12 8:00,2,0,1,22,61,7.00,42,202,244
4991,6/12/12 6:00,2,0,2,21,88,9.00,6,129,135
4992,6/24/11 0:00,3,0,1,25,79,13.00,10,51,61
4993,3/16/11 18:00,1,0,2,13,54,15.00,26,211,237
4994,3/7/11 7:00,1,0,1,1,75,28.00,3,87,90
4995,5/16/12 10:00,2,0,1,24,61,0.00,43,149,192
4996,2/1/11 2:00,1,0,2,-1,69,0.00,0,2,2
4997,12/4/12 18:00,4,0,1,16,63,15.00,38,693,731
4998,7/24/12 11:00,3,0,2,33,53,22.00,45,156,201
4999,1/22/12 4:00,1,0,3,-1,80,19.00,1,1,2
5000,2/19/12 10:00,1,0,2,4,52,17.00,49,142,191
5001,3/22/11 20:00,2,0,2,13,54,24.00,19,115,134
5002,3/6/12 11:00,1,0,1,4,41,11.00,20,110,130
5003,6/22/12 12:00,3,0,1,33,49,9.00,63,191,254
5004,11/22/11 18:00,4,0,3,13,100,0.00,0,147,147
5005,2/22/12 6:00,1,0,1,7,76,11.00,5,84,89
5006,9/30/11 5:00,4,0,1,17,83,13.00,3,23,26
5007,6/26/12 1:00,3,0,1,21,35,26.00,11,19,30
5008,11/20/12 4:00,4,0,2,8,66,13.00,0,6,6
5009,7/8/12 0:00,3,0,1,32,56,9.00,22,125,147
5010,2/8/11 20:00,1,0,1,-1,40,22.00,3,53,56
5011,11/2/12 13:00,4,0,1,11,43,24.00,64,230,294
5012,8/18/11 20:00,3,0,1,24,83,7.00,24,141,165
5013,7/11/12 23:00,3,0,2,26,58,17.00,20,132,152
5014,2/24/12 20:00,1,0,1,13,62,28.00,8,158,166
5015,5/27/12 0:00,2,0,2,25,69,11.00,48,89,137
5016,9/16/12 5:00,3,0,1,16,72,0.00,3,10,13
5017,5/7/12 3:00,2,0,1,16,77,13.00,2,3,5
5018,5/3/12 4:00,2,0,2,14,88,17.00,0,2,2
5019,2/24/12 3:00,1,0,1,12,82,9.00,0,5,5
5020,11/10/12 16:00,4,0,1,18,37,0.00,227,378,605
5021,3/1/12 16:00,1,0,1,20,32,20.00,38,323,361
5022,6/29/11 16:00,3,0,1,32,30,28.00,60,268,328
5023,12/19/12 19:00,4,0,1,10,50,26.00,7,329,336
5024,6/30/11 6:00,3,0,1,21,64,17.00,4,119,123
5025,8/3/12 10:00,3,0,2,31,52,13.00,82,167,249
5026,11/5/12 9:00,4,0,2,6,52,19.00,18,239,257
5027,6/16/12 17:00,2,0,2,27,37,17.00,244,349,593
5028,7/27/11 19:00,3,0,1,31,29,6.00,87,288,375
5029,5/21/11 17:00,2,0,2,27,42,11.00,191,253,444
5030,9/30/12 14:00,4,0,1,22,41,17.00,208,404,612
5031,8/16/12 22:00,3,0,1,27,51,11.00,69,185,254
5032,6/2/11 5:00,2,0,1,24,39,15.00,3,28,31
5033,12/20/11 3:00,4,0,2,8,61,0.00,1,1,2
5034,4/23/12 4:00,2,0,3,6,81,19.00,0,3,3
5035,5/29/12 16:00,2,0,1,32,49,33.00,73,320,393
5036,9/16/12 11:00,3,0,1,23,47,11.00,183,376,559
5037,10/5/11 3:00,4,0,1,14,82,7.00,1,5,6
5038,5/30/12 2:00,2,0,3,22,94,6.00,1,4,5
5039,8/23/11 19:00,3,0,1,24,50,15.00,70,297,367
5040,10/28/12 6:00,4,0,2,16,59,22.00,7,32,39
5041,4/13/12 23:00,2,0,1,12,62,6.00,35,163,198
5042,7/28/11 23:00,3,0,1,29,75,13.00,28,95,123
5043,5/20/12 15:00,2,0,2,26,39,28.00,246,256,502
5044,11/11/11 21:00,4,1,1,6,45,11.00,4,79,83
5045,6/7/11 6:00,2,0,1,21,78,9.00,10,116,126
5046,3/31/12 3:00,2,0,1,11,82,17.00,10,21,31
5047,5/19/12 21:00,2,0,1,23,50,0.00,81,178,259
5048,8/16/11 0:00,3,0,1,23,69,7.00,8,23,31
5049,10/14/12 14:00,4,0,1,24,39,28.00,249,368,617
5050,3/11/11 12:00,1,0,2,8,53,17.00,15,96,111
5051,11/12/11 14:00,4,0,1,16,36,20.00,191,244,435
5052,5/15/11 15:00,2,0,1,24,69,17.00,206,253,459
5053,10/6/12 21:00,4,0,1,14,59,9.00,78,137,215
5054,5/30/12 22:00,2,0,1,24,69,7.00,26,191,217
5055,11/6/11 12:00,4,0,1,13,54,0.00,120,226,346
5056,6/30/12 19:00,3,0,1,33,44,17.00,134,240,374
5057,1/25/12 1:00,1,0,1,6,70,15.00,4,7,11
5058,3/31/11 10:00,2,0,3,4,93,17.00,15,54,69
5059,3/16/11 21:00,1,0,2,12,58,19.00,3,75,78
5060,12/1/12 14:00,4,0,2,9,71,0.00,110,369,479
5061,2/12/12 1:00,1,0,3,-5,79,31.00,0,24,24
5062,1/16/11 8:00,1,0,1,2,55,19.00,0,18,18
5063,6/5/12 17:00,2,0,1,21,43,0.00,86,763,849
5064,6/22/12 13:00,3,0,1,35,39,15.00,71,227,298
5065,1/29/12 2:00,1,0,1,5,26,22.00,3,48,51
5066,4/24/11 9:00,2,0,1,19,88,17.00,73,104,177
5067,8/3/12 8:00,3,0,1,27,70,9.00,32,636,668
5068,5/10/11 9:00,2,0,2,17,48,7.00,27,173,200
5069,4/12/12 16:00,2,0,1,15,31,19.00,54,298,352
5070,9/17/12 7:00,3,0,1,17,77,0.00,18,474,492
5071,3/3/11 3:00,1,0,1,1,27,31.00,0,1,1
5072,8/4/11 9:00,3,0,1,27,74,22.00,25,161,186
5073,11/9/11 19:00,4,0,1,13,72,7.00,12,292,304
5074,7/31/12 6:00,3,0,1,23,89,11.00,2,192,194
5075,6/3/12 0:00,2,0,1,18,60,11.00,27,142,169
5076,10/23/11 15:00,4,0,1,17,52,11.00,171,216,387
5077,1/9/12 16:00,1,0,3,2,87,6.00,3,46,49
5078,7/18/12 18:00,3,0,2,29,62,9.00,63,580,643
5079,10/16/11 0:00,4,0,1,14,44,9.00,22,85,107
5080,9/4/11 7:00,3,0,1,24,78,13.00,10,20,30
5081,5/9/11 13:00,2,0,1,22,38,19.00,36,138,174
5082,10/25/12 17:00,4,0,1,21,69,11.00,112,774,886
5083,10/6/11 16:00,4,0,1,20,49,13.00,51,272,323
5084,1/6/11 7:00,1,0,2,71,59,0.00,0,95,95
5085,4/15/12 8:00,2,0,1,17,59,0.00,33,64,97
5086,12/7/11 17:00,4,0,3,11,100,22.00,4,48,52
5087,10/16/11 10:00,4,0,1,18,45,17.00,121,225,346
5088,2/10/12 12:00,1,0,2,6,42,9.00,8,168,176
5089,10/4/11 3:00,4,0,1,11,82,7.00,3,3,6
